DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-01,-2.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-02,-0.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-03,5.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-04,11.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-05,1.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-06,2.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-07,2.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-08,4.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-09,9.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-10,12.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-11,47.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2020-12,38.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-01,9.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-02,-2.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-03,0.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-04,11.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-05,9.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-06,12.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-07,5.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-08,9.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-09,12.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-10,12.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-11,34.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2021-12,19.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2022-01,-2.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,AT,2022-02,2.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-01,-4.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-02,-4.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-03,11.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-04,73.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-05,8.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-06,-1.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-07,-7.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-08,17.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-09,1.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-10,22.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-11,58.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2020-12,18.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-01,1.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-02,-8.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-03,-10.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-04,7.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-05,5.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-06,1.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-07,-1.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-08,-0.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-09,3.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-10,11.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-11,16.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2021-12,13.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2022-01,-1.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BE,2022-02,-0.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-01,-11.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-02,-0.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-03,-7.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-04,-4.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-05,-3.0,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-06,-0.4,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-07,5.5,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-08,5.9,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-09,4.9,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-10,12.6,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-11,94.0,
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2020-12,74.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-01,0.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-02,5.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-03,53.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-04,77.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-05,26.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-06,9.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-07,8.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-08,20.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-09,51.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-10,74.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-11,88.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2021-12,43.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2022-01,24.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,BG,2022-02,44.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-01,-3.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-02,-0.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-03,12.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-04,27.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-05,-1.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-06,1.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-07,1.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-08,4.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-09,4.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-10,15.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-11,66.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2020-12,59.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-01,23.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-02,-5.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-03,-5.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-04,3.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-05,3.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-06,2.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-07,2.6,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-08,8.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-09,12.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-10,7.1,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-11,16.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2021-12,25.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2022-01,3.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CH,2022-02,1.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-01,18.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-02,0.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-03,9.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-04,2.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-05,25.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-06,8.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-07,8.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-08,1.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-09,7.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-10,8.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-11,9.0,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2020-12,12.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-01,6.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-02,-5.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-03,6.9,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-04,30.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-05,14.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-06,16.3,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-07,36.4,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-08,52.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-09,30.8,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-10,19.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-11,21.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2021-12,23.5,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2022-01,30.2,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CY,2022-02,22.7,p
ESTAT:DEMO_MEXRT(1.0),12/04/22 23:00:00,M,PC,CZ,2020-01,-2.0,
