DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,BE,2022,1.7,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,BG,2022,1.4,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,CH,2022,1.8,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,CZ,2022,1.9,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,EE,2022,1.9,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,ES,2022,1.7,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,FI,2022,2.0,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,HR,2022,1.2,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,HU,2022,1.8,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,IT,2022,1.4,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,LT,2022,2.6,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,LU,2022,1.9,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,LV,2022,2.9,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,MT,2022,0.9,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,NL,2022,1.3,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,PL,2022,1.6,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,PT,2022,1.8,bp
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,RO,2022,1.2,e
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,RS,2022,1.5,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,SE,2022,2.1,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,SI,2022,1.0,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,SK,2022,1.5,
ESTAT:TPS00216(1.0),05/09/24 23:00:00,A,GDIVRT,TR,2022,2.1,
