DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,AL,2022,1.21,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,AT,2022,1.41,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,BE,2022,1.53,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,BG,2022,1.65,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,CH,2022,1.39,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,CY,2022,1.37,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,CZ,2022,1.64,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,DE,2022,1.46,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,DK,2022,1.55,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,EE,2022,1.41,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,EL,2022,1.32,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,ES,2022,1.16,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,FI,2022,1.32,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,FR,2022,1.79,p
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,GE,2022,1.83,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,HR,2022,1.53,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,HU,2022,1.56,b
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,IE,2022,1.54,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,IS,2022,1.59,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,IT,2022,1.24,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,LI,2022,1.47,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,LT,2022,1.27,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,LU,2022,1.31,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,LV,2022,1.47,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,ME,2022,1.78,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,MK,2022,1.58,b
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,MT,2022,1.08,p
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,NL,2022,1.49,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,NO,2022,1.41,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,PL,2022,1.29,b
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,PT,2022,1.43,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,RO,2022,1.71,e
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,RS,2022,1.59,b
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,SE,2022,1.53,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,SI,2022,1.55,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,SK,2022,1.57,
ESTAT:TPS00199(1.0),03/09/24 11:00:00,A,TOTFERRT,TR,2022,1.63,
