DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Albania,2022,6.8,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Belgium,2022,4.2,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Bulgaria,2022,3.9,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Switzerland,2022,4.7,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Czechia,2022,5.1,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Germany,2022,4.7,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Estonia,2022,5.3,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Greece,2022,4.2,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Spain,2022,3.7,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Finland,2022,3.9,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,France,2022,3.6,p
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Georgia,2022,7.0,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Croatia,2022,4.7,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Hungary,2022,6.6,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Italy,2022,3.2,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Lithuania,2022,5.7,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Luxembourg,2022,3.8,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Latvia,2022,6.3,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Malta,2022,4.8,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Netherlands,2022,4.0,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Poland,2022,4.2,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Portugal,2022,3.5,bp
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Romania,2022,6.2,e
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Serbia,2022,4.9,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Sweden,2022,4.6,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Slovenia,2022,3.2,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Slovakia,2022,5.4,
ESTAT:TPS00206(1.0),23/10/24 11:00:00,Annual,Crude marriage rate,Türkiye,2022,6.8,
