DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,AT,2022,38560,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2022,37050,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2022,7680,b
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2022,63990,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2022,27480,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2022,18690,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2022,36690,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2022,51600,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2022,16130,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2022,18960,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2022,25270,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2022,37330,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2022,33540,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,HR,2022,14750,e
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,HU,2022,14540,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,IE,2022,77300,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2022,40510,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2022,28670,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2022,15500,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2022,85850,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2022,13040,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2022,6650,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,MK,2022,4980,e
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2022,25450,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,NL,2022,44870,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,NO,2022,72640,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,PL,2022,14800,b
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,PT,2022,18970,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,RO,2022,10020,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,RS,2022,6230,p
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,SE,2022,45100,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,SI,2022,21790,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,SK,2022,16360,
ESTAT:SDG_08_10(1.0),18/10/24 11:00:00,A,CLV10_EUR_HAB,B1GQ,TR,2022,13380,
